United States,19354,NA,19818,NA,20799,NA,21385,NA,22297,NA,23262,NA,24442,NA,25654,NA,27258,NA,28333,NA,30319,NA,31157,NA,31481,NA,32295,NA,33909,NA,35452,NA,37725,NA,39506,NA,40947,NA,38637,NA,39791,NA,41560,NA,42693,NA
AL,15618,41,16337,39,17264,40,17766,41,18656,40,19551,39,20245,41,21118,39,22217,42,22961,42,24067,44,25072,46,25762,44,26660,42,28256,42,29681,41,31208,43,32528,44,33949,43,32406,42,33710,42,34880,42,35625,42
AK,22594,6,23092,6,23706,7,24478,7,25186,6,25778,6,26179,9,27197,9,27943,15,28538,15,30508,15,32251,14,33174,12,33657,14,34993,16,36911,14,38951,14,41316,14,44816,7,42713,8,43749,9,45665,10,46778,10
AZ,16806,35,17253,35,17762,36,18371,36,19385,37,20164,36,21159,38,22231,36,23722,37,24583,37,26293,37,27091,37,27459,37,28239,38,30080,37,32223,32,34326,27,35441,32,36059,35,33560,38,33773,41,35062,41,35979,41
AR,14402,49,15103,48,16204,47,16692,48,17496,48,18260,48,19170,48,19846,48,20798,48,21556,47,22574,48,23864,48,24260,49,25407,48,26810,48,27858,48,29385,48,31353,47,32861,47,31688,46,32373,45,33740,45,34723,45
CA,21380,8,21734,9,22439,10,22744,11,23448,13,24498,12,25788,13,27063,12,29195,9,30679,8,33404,8,33896,8,34049,9,34975,10,36887,8,38731,9,41518,7,43211,8,44003,12,41034,12,41893,16,43647,17,44980,15
CO,19377,19,20123,17,21102,16,22152,14,23237,14,24575,11,25964,10,27402,8,29174,10,30919,7,33986,7,35355,6,35131,7,35312,7,36849,10,38795,8,41181,9,42724,10,44180,10,41154,11,42107,12,44053,13,45135,13
CT,26198,1,26430,1,28287,1,29051,1,29891,1,31366,1,32835,1,34877,1,37226,1,38718,1,41920,1,43561,1,43243,1,43576,1,46174,1,48134,1,52324,1,55859,1,56959,1,52900,1,55427,1,57902,1,58908,1
DE,21209,9,22073,8,22500,9,22885,9,23487,12,24409,13,25808,12,26574,15,28397,13,29072,14,31009,13,32350,13,33130,13,33760,13,35534,14,36771,15,38812,15,39808,18,40565,19,38695,19,39425,22,41449,22,41940,23
DC,26015,NA,27333,NA,28694,NA,29883,NA,30804,NA,31291,NA,32981,NA,34807,NA,36503,NA,37093,NA,40462,NA,45421,NA,46347,NA,48451,NA,52362,NA,56362,NA,60957,NA,65329,NA,70686,NA,68093,NA,71220,NA,73783,NA,74710,NA
