Instance_number,time,lread,lwrite,scall,sread,swrite,Cluster
0,11:30:07,44,0,3700,410,200,cluster3
1,15:44:35,7,0,3459,373,391,cluster3
2,11:09:06,7,4,4627,1283,136,cluster2
3,15:44:09,7,0,4197,627,498,cluster3
4,14:00:10,3,1,4821,236,258,cluster3
5,12:59:49,20,29,3350,221,206,cluster3
6,13:32:40,8,2,1388,190,158,cluster1
7,22:09:28,0,0,403,63,56,cluster0
8,13:21:00,4,0,1972,202,86,cluster1
9,18:48:59,2,1,1061,109,50,cluster0
10,23:45:50,2,0,467,44,21,cluster0
11,13:19:30,1,1,681,49,44,cluster0
12,11:34:12,13,0,4052,436,372,cluster3
13,23:41:55,16,24,281,11,22,cluster0
14,0:32:01,0,0,181,18,21,cluster0
15,22:15:23,6,3,480,56,29,cluster0
16,1:07:01,0,0,138,9,19,cluster0
17,23:41:20,19,28,195,13,17,cluster0
18,14:23:46,16,11,4393,810,380,cluster3
19,20:26:21,1,0,584,71,43,cluster0
20,15:39:49,1,1,4795,175,168,cluster4
21,11:47:42,4,2,2102,253,184,cluster1
22,18:39:29,0,0,927,95,54,cluster0
23,20:35:21,2,1,406,41,32,cluster0
24,14:30:57,18,12,4758,543,172,cluster3
25,21:11:57,27,39,2887,137,81,cluster1
26,13:20:05,3,0,2015,204,75,cluster1
27,16:00:29,16,11,1869,177,115,cluster1
28,0:06:30,2,1,199,19,18,cluster0
29,0:07:30,1,1,1630,59,92,cluster1
30,16:40:11,63,77,6686,221,126,cluster2
31,15:28:14,11,9,2830,235,142,cluster1
32,12:25:03,84,37,3277,261,221,cluster3
33,14:10:01,18,15,2071,228,119,cluster1
34,11:34:52,9,0,3044,278,264,cluster3
35,16:35:50,89,53,2558,211,189,cluster1
36,16:21:05,78,70,2450,224,154,cluster4
37,16:10:05,6,0,2805,184,135,cluster1
38,12:59:04,27,15,3413,250,171,cluster3
39,14:34:12,8,1,4754,440,395,cluster3
40,12:32:53,5,1,1965,207,125,cluster1
41,13:02:54,3,0,3564,301,223,cluster3
42,23:04:59,1,1,983,32,45,cluster0
43,12:48:44,31,41,5305,225,177,cluster2
44,21:02:31,2,1,823,62,45,cluster0
45,12:25:08,23,4,3365,307,239,cluster3
46,15:43:45,4,0,1511,87,61,cluster1
47,17:57:33,8,0,3659,287,227,cluster3
48,18:12:04,8,6,2848,163,146,cluster1
49,21:15:52,1,0,324,43,42,cluster0
50,14:33:02,2,0,3348,222,148,cluster3
51,23:49:40,3,1,428,47,13,cluster0
52,18:59:20,0,0,823,64,125,cluster0
53,15:17:33,4,3,622,64,50,cluster0
54,15:35:09,1,1,3420,341,166,cluster3
55,16:47:20,39,56,1053,41,40,cluster0
56,18:14:39,43,48,5537,438,394,cluster2
57,11:55:53,87,45,4469,301,210,cluster3
